Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
320,AED_ONSITE,SS,Y/N,1,Is there an automated external defibrillator on site (AED)? (Y or N),Y,,P321,,,,,419,AED_ONSITE,SS,Is there an automated external defibrillator on site (AED)? (Y or N),NO CHANGE
321,STAFF_AED,SS,Y/N,1,Is hotel staff trained in automated external defibrillator usage (AED)?  (Y or N),,Y,320,Y,NO,"If Field 320 = Y, enter Y or N. If Field 320 = N, enter N",,417,STAFF_AED,SS,Is hotel staff trained in automated external defibrillator usage (AED)?  (Y or N),NO CHANGE
322,KEY_ID,SS,Y/N,1,Is Identification or validation required for replacing a guest room key? (Y or N),,,,,,,,NEW,,,NEW QUESTION,NEW
323,KEY_ELEVATOR,SS,Y/N,1,Does your hotel have a secure floor that is only accessible via a guest room key? (Y or N),,,,,,,,NEW,,,NEW QUESTION,NEW
324,KEY_PUBLIC,SS,Text,2,Do the health club facilities (pool/gym) require key access for entrance? (Y/N/NA),,,,,,,,NEW,,,NEW QUESTION,NEW
325,LASTROOMAVAIL_BD,BD,Y/N,1,Are the Blackout/Fair Date rates offered based on (LRA) last room availability?  (Y or N),,,,,,,,NEW,LASTROOMAVAIL_BD,,Are the Blackout / Fair Date rates offered based on (LRA)last room availability?  (Y or N),NEW
326,BD1_START,BD,Date,10,"Start date of 1st Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,185,BD1_START,CS,"Start date of 1st Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
327,BD1_END,BD,Date,10,"End date of 1st Blackout/Fair Date Period. Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,186,BD1_END,CS,"End date of 1st Blackout Period. Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
328,BD1_NAME,BD,Text,50,Name of 1st Blackout/Fair Date Period,,,,,,,,NEW,BD1_NAME,,Name of 1st Blackout Period/Fair Date Range,NEW
329,BD1_RT1_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 1st Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD1_RT1_SGL,,Fair Date rate for Room Type 1 in 1st Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
330,BD1_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 1st Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD1_RT1_DBL,,Fair Date rate for Room Type 1 in 1st Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
331,BD1_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 1st Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD1_RT2_SGL,,Fair Date rate for Room Type 2 in 1st Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
332,BD1_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 1st Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD1_RT2_DBL,,Fair Date rate for Room Type 2 in 1st Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
333,BD1_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 1st Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD1_RT3_SGL,,Fair Date rate for Room Type 3 in 1st Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
334,BD1_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 1st Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD1_RT3_DBL,,Fair Date rate for Room Type 3 in 1st Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
335,BD2_START,BD,Date,10,"Start date of 2nd Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,187,BD2_START,CS,"Start date of 2nd Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
336,BD2_END,BD,Date,10,"End date of 2nd Blackout/Fair Date Period. Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,188,BD2_END,CS,"End date of 2nd Blackout Period. Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
337,BD2_NAME,BD,Text,50,Name of 2nd Blackout/Fair Date Period,,,,,,,,NEW,BD2_NAME,,Name of 2nd Blackout Period/Fair Date Range,NEW
338,BD2_RT1_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 2nd Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD2_RT1_SGL,,Fair Date rate for Room Type 1 in 2nd Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
339,BD2_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 2nd Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD2_RT1_DBL,,Fair Date rate for Room Type 1 in 2nd Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
340,BD2_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 2nd Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD2_RT2_SGL,,Fair Date rate for Room Type 2 in 2nd Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
341,BD2_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 2nd Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD2_RT2_DBL,,Fair Date rate for Room Type 2 in 2nd Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
342,BD2_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 2nd Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD2_RT3_SGL,,Fair Date rate for Room Type 3 in 2nd Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
343,BD2_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 2nd Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD2_RT3_DBL,,Fair Date rate for Room Type 3 in 2nd Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
344,BD3_START,BD,Date,10,"Start date of 3rd Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,189,BD3_START,CS,"Start date of 3rd Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
345,BD3_END,BD,Date,10,"End date of 3rd Blackout/Fair Date Period. Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,190,BD3_END,CS,"End date of 3rd Blackout Period. Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
346,BD3_NAME,BD,Text,50,Name of 3rd Blackout/Fair Date Period,,,,,,,,NEW,BD3_NAME,,Name of 3rd Blackout Period/Fair Date Range,NEW
347,BD3_RT1_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 3rd Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD3_RT1_SGL,,Fair Date rate for Room Type 1 in 3rd Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
348,BD3_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 3rd Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD3_RT1_DBL,,Fair Date rate for Room Type 1 in 3rd Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
349,BD3_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 3rd Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD3_RT2_SGL,,Fair Date rate for Room Type 2 in 3rd Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
350,BD3_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 3rd Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD3_RT2_DBL,,Fair Date rate for Room Type 2 in 3rd Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
351,BD3_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 3rd Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD3_RT3_SGL,,Fair Date rate for Room Type 3 in 3rd Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
352,BD3_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 3rd Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD3_RT3_DBL,,Fair Date rate for Room Type 3 in 3rd Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
353,BD4_START,BD,Date,10,"Start date of 4th Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,191,BD4_START,CS,"Start date of 4th Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
354,BD4_END,BD,Date,10,"End date of 4th Blackout/Fair Date Period. Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,192,BD4_END,CS,"End date of 4th Blackout Period. Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
355,BD4_NAME,BD,Text,50,Name of 4th Blackout/Fair Date Period,,,,,,,,NEW,BD4_NAME,,Name of 4th Blackout Period/Fair Date Range,NEW
356,BD4_RT1_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 4th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD4_RT1_SGL,,Fair Date rate for Room Type 1 in 4th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
357,BD4_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 4th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD4_RT1_DBL,,Fair Date rate for Room Type 1 in 4th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
358,BD4_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 4th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD4_RT2_SGL,,Fair Date rate for Room Type 2 in 4th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
359,BD4_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 4th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD4_RT2_DBL,,Fair Date rate for Room Type 2 in 4th Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
360,BD4_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 4th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD4_RT3_SGL,,Fair Date rate for Room Type 3 in 4th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
361,BD4_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 4th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD4_RT3_DBL,,Fair Date rate for Room Type 3 in 4th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
362,BD5_START,BD,Date,10,"Start date of 5th Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,193,BD5_START,CS,"Start date of 5th Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
363,BD5_END,BD,Date,10,"End date of 5th Blackout/Fair Date Period. Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,194,BD5_END,CS,"End date of 5th Blackout Period. Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
364,BD5_NAME,BD,Text,50,Name of 5th Blackout/Fair Date Period,,,,,,,,NEW,BD5_NAME,,Name of 5th Blackout Period/Fair Date Range,NEW
365,BD5_RT1_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 5th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD5_RT1_SGL,,Fair Date rate for Room Type 1 in 5th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
366,BD5_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 5th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD5_RT1_DBL,,Fair Date rate for Room Type 1 in 5th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
367,BD5_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 5th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD5_RT2_SGL,,Fair Date rate for Room Type 2 in 5th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
368,BD5_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 5th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD5_RT2_DBL,,Fair Date rate for Room Type 2 in 5th Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
369,BD5_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 5th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD5_RT3_SGL,,Fair Date rate for Room Type 3 in 5th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
370,BD5_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 5th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD5_RT3_DBL,,Fair Date rate for Room Type 3 in 5th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
371,BD6_START,BD,Date,10,"Start date of 6th Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,195,BD6_START,CS,"Start date of 6th Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
372,BD6_END,BD,Date,10,"End date of 6th Blackout/Fair Date Period. Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,196,BD6_END,CS,"End date of 6th Blackout Period. Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
373,BD6_NAME,BD,Text,50,Name of 6th Blackout/Fair Date Period,,,,,,,,NEW,BD6_NAME,,Name of 6th Blackout Period/Fair Date Range,NEW
374,BD6_RT1_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 6th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD6_RT1_SGL,,Fair Date rate for Room Type 1 in 6th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
375,BD6_RT1_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 1 in 6th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD6_RT1_DBL,,Fair Date rate for Room Type 1 in 6th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
376,BD6_RT2_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 6th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD6_RT2_SGL,,Fair Date rate for Room Type 2 in 6th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
377,BD6_RT2_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 2 in 6th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,BD6_RT2_DBL,,Fair Date rate for Room Type 2 in 6th Blackout Period per night (Rate you are offering to this client.) Double  occupancy,NEW
378,BD6_RT3_SGL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 6th Blackout/Fair Date Period per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,BD6_RT3_SGL,,Fair Date rate for Room Type 3 in 6th Blackout Period per night (Rate you are offering to this client.) Single occupancy,NEW
379,BD6_RT3_DBL,BD,Number,"(20,2)",Blackout/Fair Date rate for Room Type 3 in 6th Blackout/Fair Date Period per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,BD6_RT3_DBL,,Fair Date rate for Room Type 3 in 6th Blackout Period per night (Rate you are offering to this client.) Double occupancy,NEW
380,BD7_START,BD,Date,10,"Start date of 7th Blackout/Fair Date Period.  Use ISO 8601 format - Example: 2011-12-31.  If the Blackout/Fair Date period is one day, Start Date and End Date are the same.",,,,,,,,197,BD7_START,CS,"Start date of 7th Blackout Period.  Use date format MM/DD/YYYY.  If the blackout period is one day, Start Date and End Date are the same.",AMENDED
